name,team,position,cost,status,minutes,total_points,bonus,points_per_game,selected_by_percent
Pickford,EVE,GKP,5.4,Available,1170,39,2,3.0,8.0
Stekelenburg,EVE,GKP,4.0,Available,0,0,0,0.0,8.5
Richarlison,EVE,MID,7.9,Available,1117,58,6,4.5,6.5
Sigurdsson,EVE,MID,7.4,Available,876,33,0,2.5,3.0
Bernard,EVE,MID,6.4,Doubtful,447,28,5,3.5,0.6
Walcott,EVE,MID,6.2,Doubtful,434,18,0,1.8,0.4
Davies,EVE,MID,5.3,Available,462,20,3,2.9,0.2
Lookman,EVE,MID,5.0,NotAvail,0,0,0,0.0,0.0
Gueye,EVE,MID,5.0,NotAvail,0,0,0,0.0,0.0
Schneiderlin,EVE,MID,4.4,Doubtful,617,9,0,1.1,0.8
Delph,EVE,DEF,5.4,Doubtful,558,6,0,0.9,0.2
André Gomes,EVE,MID,5.3,Injured,584,13,0,1.6,0.3
Gibson,EVE,DEF,4.3,Available,0,0,0,0.0,0.2
Holgate,EVE,DEF,4.4,Available,378,13,1,2.2,0.3
Lössl,EVE,GKP,4.3,Available,0,0,0,0.0,0.3
Kean,EVE,FWD,6.4,Available,287,14,0,1.6,1.5
Gbamin,EVE,MID,4.8,Injured,135,4,0,2.0,0.0
Sidibé,EVE,DEF,5.3,Available,456,18,3,3.0,0.2
Baningime,EVE,MID,4.5,Doubtful,0,0,0,0.0,0.0
Gordon,EVE,FWD,4.5,Available,0,0,0,0.0,0.0
Pereira,LEI,DEF,6.4,Available,1170,68,7,5.2,15.6
Chilwell,LEI,DEF,5.9,Available,990,62,3,5.6,14.8
Evans,LEI,DEF,5.1,Available,1141,53,4,4.1,2.9
Fuchs,LEI,DEF,4.3,Available,184,5,0,1.7,0.3
Söyüncü,LEI,DEF,5.0,Available,1170,61,5,4.7,17.7
Morgan,LEI,DEF,4.2,Available,56,4,0,1.0,0.7
Vardy,LEI,FWD,9.8,Available,1170,104,19,8.0,44.9
Iheanacho,LEI,FWD,5.7,Available,0,0,0,0.0,0.2
Schmeichel,LEI,GKP,5.3,Available,1170,58,1,4.5,12.9
Jakupovic,LEI,GKP,4.3,Available,0,0,0,0.0,0.1
Ward,LEI,GKP,4.3,Available,0,0,0,0.0,0.2
Maddison,LEI,MID,7.6,Available,1052,65,8,5.4,24.7
Barnes,LEI,MID,5.9,Available,713,46,3,3.8,1.3
Ghezzal,LEI,MID,5.2,NotAvail,0,0,0,0.0,0.0
Albrighton,LEI,MID,5.2,Available,182,9,0,1.5,0.2
Gray,LEI,MID,5.2,Available,204,15,0,1.7,0.3
Ndidi,LEI,MID,5.0,Available,1080,42,3,3.5,3.2
James,LEI,MID,4.3,Injured,0,0,0,0.0,0.2
Amartey,LEI,MID,4.3,Available,0,0,0,0.0,0.3
Mendy,LEI,MID,4.3,Available,1,1,0,1.0,0.9
Choudhury,LEI,MID,4.4,Available,318,14,0,1.8,0.7
Pérez,LEI,MID,6.2,Available,770,54,2,4.5,7.4
Justin,LEI,DEF,4.8,Available,0,0,0,0.0,0.1
Tielemans,LEI,MID,6.7,Available,1161,60,4,4.6,10.8
King,LEI,MID,4.3,NotAvail,0,0,0,0.0,0.4
Praet,LEI,MID,5.3,Available,307,16,0,1.8,0.1
Robertson,LIV,DEF,7.1,Available,1260,65,8,4.6,22.6
Alexander-Arnold,LIV,DEF,7.2,Available,1260,64,7,4.6,29.8
van Dijk,LIV,DEF,6.4,Available,1260,59,6,4.2,39.1
Gomez,LIV,DEF,5.1,Available,100,6,0,1.2,0.8
Matip,LIV,DEF,5.3,Injured,630,32,4,4.6,1.6
Lovren,LIV,DEF,5.3,Available,540,11,0,1.8,0.6
Firmino,LIV,FWD,9.4,Available,1161,67,12,4.8,10.7
Origi,LIV,FWD,5.2,Available,288,22,3,2.0,2.7
Alisson,LIV,GKP,6.0,Suspended,563,12,0,1.7,8.4
Mignolet,LIV,GKP,4.5,NotAvail,0,0,0,0.0,0.0
Salah,LIV,MID,12.2,Available,1010,75,8,6.2,22.8
Mané,LIV,MID,12.2,Available,1146,94,13,6.7,40.7
Chamberlain,LIV,MID,6.2,Available,401,16,0,1.6,0.6
Shaqiri,LIV,MID,6.3,Available,11,2,0,1.0,0.2
Lallana,LIV,MID,5.8,Available,134,13,1,2.2,0.1
Keita,LIV,MID,5.8,Available,14,2,0,1.0,0.2
Fabinho,LIV,MID,5.5,Injured,1006,32,4,2.7,1.4
Henderson,LIV,MID,5.4,Available,887,38,2,2.9,1.0
Wijnaldum,LIV,MID,5.4,Available,1169,39,2,2.8,2.8
Milner,LIV,MID,5.3,Available,278,25,3,2.5,0.6
Camacho,LIV,MID,4.5,NotAvail,0,0,0,0.0,0.0
Brewster,LIV,FWD,4.3,Available,0,0,0,0.0,0.6
Adrián,LIV,GKP,4.2,Available,693,24,0,2.7,2.7
Lonergan,LIV,GKP,4.3,Available,0,0,0,0.0,0.0
Kelleher,LIV,GKP,4.5,Doubtful,0,0,0,0.0,0.0
Elliott,LIV,MID,4.5,Available,0,0,0,0.0,0.0
Laporte,MCI,DEF,6.3,Injured,306,9,0,2.2,2.1
Walker,MCI,DEF,5.8,Available,907,37,3,3.4,12.6
Mendy,MCI,DEF,5.7,Available,387,16,0,3.2,1.0
Zinchenko,MCI,DEF,5.2,Injured,585,18,0,2.6,2.8
Stones,MCI,DEF,5.3,Available,641,20,0,2.5,1.5
Otamendi,MCI,DEF,5.1,Available,603,27,0,3.4,2.6
Danilo,MCI,DEF,5.0,NotAvail,0,0,0,0.0,0.0
Agüero,MCI,FWD,11.8,Injured,810,72,6,6.0,13.1
Jesus,MCI,FWD,9.6,Available,545,34,1,3.1,2.9
Ederson,MCI,GKP,6.0,Available,1170,48,2,3.7,15.5
Bravo,MCI,GKP,4.8,Available,90,1,0,1.0,0.3
Sterling,MCI,MID,11.9,Available,1150,76,7,5.8,30.5
De Bruyne,MCI,MID,10.2,Available,1053,93,13,7.2,40.6
Sané,MCI,MID,9.3,Injured,0,0,0,0.0,0.2
Mahrez,MCI,MID,8.3,Available,615,58,9,5.8,3.7
Bernardo Silva,MCI,MID,7.9,Available,745,57,5,4.8,10.5
David Silva,MCI,MID,7.6,Available,830,68,7,5.2,7.9
Foden,MCI,MID,5.1,Available,74,6,0,1.0,0.3
Fernandinho,MCI,MID,5.2,Available,859,17,0,1.7,0.7
Gündogan,MCI,MID,5.2,Suspended,903,24,1,1.8,1.5
Angeliño,MCI,DEF,4.7,Available,242,8,1,2.0,0.2
Rodrigo,MCI,MID,5.4,Available,886,31,1,2.6,1.0
Cancelo,MCI,DEF,5.3,Available,397,19,3,3.2,1.2
Garcia,MCI,DEF,4.5,Available,27,1,0,1.0,0.0
Carson,MCI,GKP,4.0,Available,0,0,0,0.0,0.0
Wan-Bissaka,MUN,DEF,5.4,Available,980,25,2,2.3,15.6
Maguire,MUN,DEF,5.3,Available,1170,30,0,2.3,11.8
Smalling,MUN,DEF,5.3,NotAvail,0,0,0,0.0,0.1
Young,MUN,DEF,5.4,Available,771,15,0,1.7,0.3
Lindelöf,MUN,DEF,5.3,Available,1080,29,2,2.4,1.1
Shaw,MUN,DEF,5.4,Available,213,9,0,3.0,0.6
Rojo,MUN,DEF,4.8,Injured,121,3,0,1.0,0.1
Bailly,MUN,DEF,4.9,Injured,0,0,0,0.0,0.0
Dalot,MUN,DEF,4.9,Doubtful,59,1,0,1.0,0.1
Darmian,MUN,DEF,4.9,NotAvail,0,0,0,0.0,0.0
Jones,MUN,DEF,4.8,Available,45,1,0,1.0,0.1
Lukaku,MUN,FWD,8.5,NotAvail,0,0,0,0.0,0.3
Rashford,MUN,FWD,8.7,Available,1126,74,14,5.7,17.6
Greenwood,MUN,FWD,4.3,Available,130,14,0,1.4,10.9
de Gea,MUN,GKP,5.5,Available,1170,44,5,3.4,13.9
Romero,MUN,GKP,4.8,Available,0,0,0,0.0,0.2
Grant,MUN,GKP,4.8,Available,0,0,0,0.0,0.1
Pogba,MUN,MID,8.4,Injured,450,15,0,3.0,3.1
Martial,MUN,MID,7.8,Available,614,40,2,5.0,9.1
Sánchez,MUN,MID,6.8,NotAvail,0,0,0,0.0,0.4
Lingard,MUN,MID,6.3,Available,441,12,0,1.2,0.8
Mata,MUN,MID,6.2,Available,299,12,0,1.7,0.3
James,MUN,MID,6.2,Available,1072,50,2,3.8,12.4
Fred,MUN,MID,5.3,Available,598,13,0,1.4,0.2
Gomes,MUN,MID,4.8,Available,9,1,0,1.0,0.1
Pereira,MUN,MID,5.0,Available,863,34,1,2.8,0.7
Matic,MUN,MID,4.8,Doubtful,158,6,0,2.0,0.3
McTominay,MUN,MID,5.1,Doubtful,1065,47,6,3.9,2.6
Chong,MUN,MID,4.4,Available,24,2,0,1.0,0.5
Garner,MUN,MID,4.4,Available,8,1,0,1.0,0.2
Tuanzebe,MUN,DEF,4.4,Available,186,6,0,1.5,0.1
Williams,MUN,DEF,4.1,Available,190,9,0,2.2,1.8
Ritchie,NEW,DEF,5.3,Injured,270,8,0,2.7,0.2
Schär,NEW,DEF,5.0,Available,793,32,2,3.6,1.6
Yedlin,NEW,DEF,4.4,Doubtful,556,20,0,2.9,0.1
Fernández,NEW,DEF,4.4,Available,473,22,3,2.8,0.2
Dummett,NEW,DEF,4.4,Available,855,25,2,2.3,0.3
Manquillo,NEW,DEF,4.3,Available,305,10,1,2.0,0.1
Lejeune,NEW,DEF,4.4,Available,0,0,0,0.0,0.0
Lascelles,NEW,DEF,4.4,Injured,1000,38,3,3.2,3.8
Clark,NEW,DEF,4.3,Available,630,27,2,3.9,0.4
Muto,NEW,FWD,5.2,Available,101,5,0,1.0,0.1
Joselu,NEW,FWD,5.0,NotAvail,0,0,0,0.0,0.0
Dubravka,NEW,GKP,5.0,Available,1260,47,2,3.4,1.0
Darlow,NEW,GKP,4.4,Available,0,0,0,0.0,0.1
Woodman,NEW,GKP,4.0,NotAvail,0,0,0,0.0,0.9
Almirón,NEW,MID,5.8,Available,1167,33,0,2.4,0.4
Atsu,NEW,MID,5.4,Available,474,27,0,2.2,0.1
Ki Sung-yueng,NEW,MID,4.7,Available,135,4,0,1.3,0.1
Shelvey,NEW,MID,5.0,Available,670,37,5,4.1,0.3
Longstaff,NEW,MID,5.0,Available,613,16,0,2.0,0.3
Hayden,NEW,MID,4.4,Available,942,26,2,2.4,4.1
Joelinton,NEW,FWD,5.7,Available,1105,35,3,2.5,1.1
Colback,NEW,MID,4.4,NotAvail,0,0,0,0.0,0.2
Murphy,NEW,MID,4.8,NotAvail,0,0,0,0.0,0.0
Willems,NEW,DEF,4.6,Available,923,50,6,4.5,2.1
Aarons,NEW,MID,4.9,NotAvail,0,0,0,0.0,0.0
Saint-Maximin,NEW,MID,5.4,Doubtful,645,21,0,2.1,0.5
Krafth,NEW,DEF,4.4,Available,414,11,0,1.8,0.1
Carroll,NEW,FWD,5.4,Doubtful,124,7,0,1.0,0.1
Matthew Longstaff,NEW,MID,4.5,Available,269,14,2,4.7,0.3
Gayle,NEW,FWD,5.0,Available,45,4,0,1.0,0.0
Klose,NOR,DEF,4.4,Injured,0,0,0,0.0,0.0
Godfrey,NOR,DEF,4.4,Available,1163,17,0,1.2,0.2
Aarons,NOR,DEF,4.4,Available,1024,17,0,1.4,1.1
Zimmermann,NOR,DEF,4.4,Available,159,7,0,2.3,0.0
Lewis,NOR,DEF,4.5,Doubtful,1044,19,0,1.6,0.3
Hanley,NOR,DEF,4.0,Injured,270,1,0,0.3,2.3
Pukki,NOR,FWD,6.6,Available,1189,71,9,5.1,18.0
Srbeny,NOR,FWD,5.2,Available,28,11,1,1.8,0.0
Krul,NOR,GKP,4.5,Available,1024,48,6,4.0,1.9
McGovern,NOR,GKP,4.0,Available,158,11,2,5.5,7.0
Vrancic,NOR,MID,6.2,Available,24,2,0,0.7,0.1
Buendía,NOR,MID,6.0,Available,1053,40,3,3.1,1.0
Hernández,NOR,MID,5.3,Available,378,16,0,2.3,0.1
Stiepermann,NOR,MID,5.2,Available,778,18,0,1.6,0.1
McLean,NOR,MID,4.9,Available,952,30,0,2.3,0.2
Cantwell,NOR,MID,4.6,Doubtful,957,50,4,3.6,16.6
Leitner,NOR,MID,4.5,Available,683,16,0,1.8,0.2
Tettey,NOR,MID,4.5,Injured,548,15,0,1.9,0.2
Trybull,NOR,MID,4.5,Available,662,18,0,2.0,0.7
Drmic,NOR,FWD,5.4,Injured,115,12,0,1.5,0.1
Roberts,NOR,MID,5.2,Available,24,3,0,1.0,0.1
Fahrmann,NOR,GKP,4.4,Available,21,1,0,1.0,0.3
Byram,NOR,DEF,4.4,Available,329,9,0,1.5,0.1
Heise,NOR,DEF,4.0,Available,0,0,0,0.0,0.7
Amadou,NOR,MID,4.5,Available,630,15,0,1.7,0.1
Idah,NOR,FWD,4.5,Available,0,0,0,0.0,0.1
Mair,NOR,GKP,4.0,Available,0,0,0,0.0,0.0
Famewo,NOR,DEF,4.0,Available,0,0,0,0.0,0.1
Mousset,SHU,FWD,5.1,Available,449,49,6,4.5,4.1
Stevens,SHU,DEF,5.1,Available,1204,52,4,3.7,2.5
Freeman,SHU,DEF,4.3,Available,0,0,0,0.0,0.1
O'Connell,SHU,DEF,4.6,Available,1204,49,4,3.5,2.0
Baldock,SHU,DEF,4.6,Available,1204,56,3,4.0,3.0
Egan,SHU,DEF,4.5,Doubtful,1102,46,3,3.5,0.4
Stearman,SHU,DEF,4.0,Available,0,0,0,0.0,2.4
Lundstram,SHU,DEF,5.0,Available,1172,74,10,5.3,45.1
Sharp,SHU,FWD,5.7,Available,190,12,3,1.5,0.3
Eastwood,SHU,GKP,4.3,NotAvail,0,0,0,0.0,0.1
Duffy,SHU,MID,5.2,NotAvail,0,0,0,0.0,0.0
Fleck,SHU,MID,4.8,Available,962,40,4,3.3,1.3
Norwood,SHU,MID,4.9,Available,1129,33,0,2.4,0.3
McGoldrick,SHU,FWD,5.4,Available,752,24,3,2.2,0.3
Basham,SHU,DEF,4.5,Available,1160,43,1,3.1,0.5
Moore,SHU,GKP,4.4,Available,90,1,0,1.0,0.1
Freeman,SHU,MID,5.2,Available,254,9,0,1.5,0.1
Jagielka,SHU,DEF,4.2,Available,128,4,0,1.0,0.4
Robinson,SHU,MID,5.2,Available,547,29,1,2.6,0.4
Morrison,SHU,MID,4.7,Available,12,1,0,1.0,0.1
Henderson,SHU,GKP,4.7,Available,1114,52,2,4.0,6.0
Osborn,SHU,MID,4.7,Available,13,2,0,1.0,0.0
McBurnie,SHU,FWD,5.7,Available,499,23,1,2.1,0.1
Verrips,SHU,GKP,4.4,Available,0,0,0,0.0,0.0
Bešić,SHU,MID,4.5,Available,9,1,0,1.0,0.2
Clarke,SHU,FWD,4.5,Available,13,1,0,1.0,0.1
Vestergaard,SOU,DEF,5.0,Available,933,32,6,2.9,3.6
Bertrand,SOU,DEF,4.8,Available,672,4,0,0.4,0.5
Valery,SOU,DEF,4.7,Available,554,9,0,1.1,0.2
Bednarek,SOU,DEF,4.5,Available,1257,23,1,1.6,0.7
Stephens,SOU,DEF,4.3,Available,477,5,0,0.8,0.1
Yoshida,SOU,DEF,4.3,Available,553,9,1,1.3,0.3
Ramsay,SOU,DEF,3.9,Available,0,0,0,0.0,1.3
Austin,SOU,FWD,6.0,NotAvail,0,0,0,0.0,0.0
Ings,SOU,FWD,6.1,Available,911,67,13,4.8,7.0
Obafemi,SOU,FWD,4.9,Available,180,7,0,1.2,0.2
Long,SOU,FWD,4.6,Available,153,7,0,1.2,2.1
Gallagher,SOU,FWD,4.5,NotAvail,0,0,0,0.0,0.0
Forster,SOU,GKP,4.3,NotAvail,0,0,0,0.0,0.4
McCarthy,SOU,GKP,4.3,Available,360,7,0,1.8,0.5
Gunn,SOU,GKP,4.5,Available,900,29,3,2.9,2.3
Redmond,SOU,MID,6.2,Available,1023,30,2,2.5,0.6
Ward-Prowse,SOU,MID,5.8,Available,1260,53,6,3.8,1.1
Elyounoussi,SOU,MID,5.3,NotAvail,0,0,0,0.0,0.0
Armstrong,SOU,MID,5.2,Injured,350,15,0,1.5,0.1
Lemina,SOU,MID,4.7,NotAvail,0,0,0,0.0,0.1
Højbjerg,SOU,MID,4.8,Available,1097,32,1,2.5,0.4
Johnson,SOU,MID,4.4,NotAvail,0,0,0,0.0,0.0
Slattery,SOU,MID,4.4,Available,0,0,0,0.0,0.4
Oriol Romeu,SOU,MID,4.4,Available,1044,24,0,2.0,1.0
Adams,SOU,FWD,5.4,Available,465,18,0,2.0,0.4
Djenepo,SOU,MID,5.2,Available,323,25,3,3.6,0.1
Hoedt,SOU,DEF,4.3,NotAvail,0,0,0,0.0,0.0
Cédric,SOU,DEF,4.8,Available,480,13,0,2.2,0.2
Boufal,SOU,MID,5.5,Available,463,24,0,2.2,0.1
Danso,SOU,DEF,4.3,Available,275,9,0,1.5,0.0
N'Lundulu,SOU,FWD,4.5,Available,0,0,0,0.0,0.1
Lewis,SOU,GKP,4.0,Available,0,0,0,0.0,0.1
Davies,TOT,DEF,5.4,Injured,360,8,0,1.3,0.2
Vertonghen,TOT,DEF,5.2,Available,630,13,0,1.9,1.4
Alderweireld,TOT,DEF,5.4,Available,1170,30,1,2.3,5.5
Rose,TOT,DEF,5.4,Available,807,14,0,1.4,1.6
Sánchez,TOT,DEF,5.3,Available,855,12,0,1.2,0.9
Trippier,TOT,DEF,5.5,NotAvail,0,0,0,0.0,0.1
Foyth,TOT,DEF,4.9,Available,20,1,0,0.5,0.0
Aurier,TOT,DEF,4.9,Available,735,36,9,4.0,4.4
Walker-Peters,TOT,DEF,4.5,Available,241,5,0,1.7,0.6
Kane,TOT,FWD,10.9,Available,1164,65,9,5.0,19.1
Janssen,TOT,FWD,4.5,NotAvail,0,0,0,0.0,0.1
Lloris,TOT,GKP,5.3,Injured,548,23,0,3.3,3.8
Gazzaniga,TOT,GKP,4.5,Available,712,23,3,2.9,3.9
Son,TOT,MID,9.8,Available,963,74,9,6.2,13.9
Eriksen,TOT,MID,8.7,Available,703,27,3,2.5,3.0
Alli,TOT,MID,8.5,Available,539,42,6,6.0,2.5
Lucas Moura,TOT,MID,7.0,Available,499,30,0,2.5,4.3
Lamela,TOT,MID,5.7,Injured,602,32,2,3.6,1.4
Winks,TOT,MID,5.3,Available,857,20,0,1.5,0.3
Wanyama,TOT,MID,4.8,Available,24,1,0,0.5,0.1
Sissoko,TOT,MID,4.9,Available,1154,34,0,2.4,1.7
Dier,TOT,MID,4.9,Available,372,7,0,1.4,0.2
Amos,TOT,MID,4.5,NotAvail,0,0,0,0.0,0.0
Skipp,TOT,MID,4.4,Available,2,2,0,1.0,0.5
Ndombele,TOT,MID,5.8,Available,647,31,2,2.8,2.9
Parrott,TOT,FWD,4.4,Available,0,0,0,0.0,0.9
Lo Celso,TOT,MID,7.3,Available,155,8,0,1.1,0.2
Sessegnon,TOT,MID,5.4,Available,1,1,0,1.0,0.1
Nkoudou,TOT,MID,5.0,NotAvail,2,1,0,1.0,0.0
Whiteman,TOT,GKP,4.0,Available,0,0,0,0.0,0.4
Vorm,TOT,GKP,4.4,Injured,0,0,0,0.0,0.0
Austin,TOT,GKP,4.0,Available,0,0,0,0.0,0.1
Holebas,WAT,DEF,4.7,Available,974,15,0,1.4,1.0
Kabasele,WAT,DEF,4.3,Injured,604,21,1,3.0,0.2
Masina,WAT,DEF,4.3,Available,299,8,0,1.6,0.1
Mariappa,WAT,DEF,4.2,Available,360,2,0,0.4,0.1
Kiko Femenía,WAT,DEF,4.2,Doubtful,745,7,0,0.7,0.3
Cathcart,WAT,DEF,4.4,Available,1009,30,1,2.5,1.3
Janmaat,WAT,DEF,4.4,Injured,606,36,7,4.5,1.9
Navarro,WAT,DEF,3.9,NotAvail,0,0,0,0.0,0.4
Prödl,WAT,DEF,4.0,Injured,56,1,0,1.0,1.4
Deeney,WAT,FWD,6.2,Available,214,5,0,1.7,0.5
Deulofeu,WAT,FWD,6.1,Available,937,42,6,3.0,2.9
Gray,WAT,FWD,5.7,Available,655,26,2,2.0,0.4
Success,WAT,FWD,4.8,Available,34,2,0,1.0,0.4
Foster,WAT,GKP,4.8,Available,1260,49,10,3.5,2.1
Dahlberg,WAT,GKP,4.4,Available,0,0,0,0.0,0.1
Doucouré,WAT,MID,5.7,Available,1240,34,2,2.4,1.0
Pereyra,WAT,MID,5.6,Available,737,22,0,2.0,0.7
Hughes,WAT,MID,5.5,Available,757,33,3,2.8,0.4
Cleverley,WAT,MID,4.9,Injured,645,24,2,2.7,0.1
